file,fileVersion,date,bugID
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.39.4.1,2006.10.20.14.11.48,160962
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.39.4.1,2006.10.20.14.11.48,154111
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.47.2.1,2007.07.05.13.50.27,191082
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.47.2.1,2007.07.05.13.50.27,192774
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.47.2.1,2007.07.05.13.50.27,189799
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.52.2.1,2009.08.19.19.24.38,285466
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.54.2.1,2010.02.22.14.49.11,206391
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.353,2010.04.25.20.10.08,310330
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.352,2010.04.21.19.04.24,291528
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.351,2010.02.25.19.17.04,295551
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.350,2010.02.21.03.35.51,206391
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.349,2010.01.13.15.13.48,236385
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.347,2010.01.04.15.13.51,296998
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.346,2009.10.07.14.58.11,280784
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.345,2009.10.06.19.24.21,280784
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.344,2009.10.06.13.18.03,106478
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.343,2009.10.02.17.27.54,106478
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.342,2009.09.22.14.56.46,163194
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.340,2009.05.11.12.42.53,275467
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.338,2008.11.26.17.56.55,256463
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.337,2008.11.24.13.13.44,48399
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.336,2008.11.20.15.55.04,255974
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.335,2008.10.10.17.24.31,38751
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.332,2008.09.05.10.21.50,246066
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.331,2008.08.26.11.52.53,239066
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.330,2008.07.22.19.14.43,229092
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.328,2008.06.23.16.23.26,235004
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.328,2008.06.23.16.23.26,115814
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.327,2008.04.21.15.00.59,227941
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.326,2008.04.18.15.41.46,182360
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.322,2008.03.21.16.59.46,217233
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.321,2008.03.20.08.57.49,97332
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.319,2008.01.29.09.38.31,210521
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.318,2008.01.24.09.54.33,210524
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.317,2008.01.23.06.50.23,210521
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.316,2008.01.14.07.59.36,211588
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.315,2008.01.03.08.34.10,210518
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.314,2007.11.08.16.59.56,77918
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.313,2007.11.07.17.00.11,138018
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.312,2007.10.27.07.33.35,127533
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.310,2007.10.16.10.24.20,168230
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.309,2007.10.15.17.39.33,122885
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.307,2007.09.13.18.00.48,120223
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.304,2007.07.05.13.52.50,191082
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.304,2007.07.05.13.52.50,192774
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.304,2007.07.05.13.52.50,189799
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.303,2007.06.04.17.21.24,190493
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.302,2007.05.23.18.57.22,188648
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.301,2007.05.23.18.02.20,188656
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.300,2007.05.07.17.01.22,185768
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.294,2007.03.16.13.51.58,177621
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.290,2007.02.26.08.48.59,170704
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.288,2007.02.15.19.05.22,168910
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.280,2007.02.09.10.14.23,173416
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.279,2007.02.01.15.38.49,161996
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.278,2007.01.26.20.44.33,141830
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.274,2006.12.14.18.31.04,160773
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.272,2006.11.28.17.37.52,165976
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.271,2006.11.24.01.32.03,161980
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.271,2006.11.24.01.32.03,161975
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.269,2006.11.10.19.31.46,164081
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.268,2006.10.24.02.54.49,161967
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.266,2006.10.18.19.09.56,156736
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.262,2006.10.05.19.11.38,159641
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.260,2006.09.01.07.48.07,146554
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.259,2006.07.17.11.40.26,129584
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.258,2006.06.26.13.14.25,148523
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.257,2006.06.21.17.04.31,146214
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.256,2006.06.09.11.25.03,146215
