file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#MethodInfo.java,org.eclipse.jdt.internal.core.util.methodinfo,class,21,39,2,8,92,17,0,14,2,0,0,0,0,0,12,0,0,12,0,0,0,0,0,146,16,1,5,0,5,0,20,36,14,19,3,0,0,0,60,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#ParameterAnnotation.java,org.eclipse.jdt.internal.core.util.parameterannotation,class,6,6,2,2,0,4,0,3,0,0,0,0,0,0,4,1,0,4,0,0,1,0,0,38,3,1,0,0,0,0,5,10,1,7,2,0,0,0,23,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#PublicScanner.java,org.eclipse.jdt.internal.core.util.publicscanner,class,15,892,1,44,7,58,0,48,3,1,0,0,29,0,76,33,67,2,3,0,34,0,0,3398,398,37,379,10,398,134,416,520,117,282,7,0,0,0,345,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#RecordedParsingInformation.java,org.eclipse.jdt.internal.core.util.recordedparsinginformation,class,3,4,1,0,0,2,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,21,0,0,0,0,0,0,1,6,0,4,1,0,0,0,23,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#ReferenceInfoAdapter.java,org.eclipse.jdt.internal.core.util.referenceinfoadapter,class,1,9,1,0,36,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1025
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#ResourceCompilationUnit.java,org.eclipse.jdt.internal.core.util.resourcecompilationunit,class,5,5,2,4,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,22,3,0,1,1,0,0,0,1,0,1,1,0,0,0,17,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#RuntimeInvisibleAnnotationsAttribute.java,org.eclipse.jdt.internal.core.util.runtimeinvisibleannotationsattribute,class,7,5,3,2,0,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,38,2,1,0,0,0,0,5,10,1,7,2,0,0,0,23,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#RuntimeInvisibleParameterAnnotationsAttribute.java,org.eclipse.jdt.internal.core.util.runtimeinvisibleparameterannotationsattribute,class,7,5,3,2,0,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,38,2,1,0,0,0,0,5,10,1,7,2,0,0,0,23,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#RuntimeVisibleAnnotationsAttribute.java,org.eclipse.jdt.internal.core.util.runtimevisibleannotationsattribute,class,7,5,3,2,0,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,38,2,1,0,0,0,0,5,10,1,7,2,0,0,0,23,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#RuntimeVisibleParameterAnnotationsAttribute.java,org.eclipse.jdt.internal.core.util.runtimevisibleparameterannotationsattribute,class,7,5,3,2,0,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,38,2,1,0,0,0,0,5,10,1,7,2,0,0,0,23,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#SignatureAttribute.java,org.eclipse.jdt.internal.core.util.signatureattribute,class,9,4,3,4,0,3,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,26,2,0,0,0,0,0,1,4,0,4,1,0,0,0,14,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#SimpleDocument.java,org.eclipse.jdt.internal.core.util.simpledocument,class,11,45,1,4,970,45,0,45,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,135,26,0,0,0,0,0,9,1,2,1,0,0,0,0,74,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#SimpleWordSet.java,org.eclipse.jdt.internal.core.util.simplewordset,class,2,14,1,4,0,4,0,3,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,47,4,3,3,0,4,0,6,19,4,13,1,0,0,0,18,17
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#SourceFileAttribute.java,org.eclipse.jdt.internal.core.util.sourcefileattribute,class,9,4,3,4,0,3,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,31,2,0,0,0,0,0,1,3,0,3,1,0,0,0,18,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#StackMapAttribute.java,org.eclipse.jdt.internal.core.util.stackmapattribute,class,7,7,3,4,0,4,0,4,0,0,0,0,0,0,5,2,0,5,0,0,2,0,0,49,3,1,0,0,0,0,10,14,2,10,2,0,0,0,27,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#StackMapFrame.java,org.eclipse.jdt.internal.core.util.stackmapframe,class,6,24,2,3,14,8,0,7,0,0,0,0,0,0,8,1,0,8,0,0,1,0,0,138,7,3,0,0,0,0,49,69,7,19,2,0,0,0,38,1
