file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\ChangeClasspathOperation.java,1.4.2.1,2007-12-18,212769,R3_3_2,2008-02-21,2008-01-24,-28 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\ClasspathChange.java,1.6,2007-04-13,145329,R3_3_1,2007-09-28,2007-06-26,-94 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\DeltaProcessingState.java,1.42,2007-04-13,145329,R3_3_1,2007-09-28,2007-06-26,-94 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\SetClasspathOperation.java,1.151,2007-04-13,145329,R3_3_1,2007-09-28,2007-06-26,-94 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\hierarchy\TypeHierarchy.java,1.100,2007-04-13,145329,R3_3_1,2007-09-28,2007-06-26,-94 days +00:00:00.000000000
org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\IndexSelector.java,1.37,2007-04-13,145329,R3_3_1,2007-09-28,2007-06-26,-94 days +00:00:00.000000000
org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\JavaSearchScope.java,1.57,2007-04-13,145329,R3_3_1,2007-09-28,2007-06-26,-94 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\ClasspathChange.java,1.6,2007-04-13,145329,R3_3,2007-06-28,2007-06-26,-2 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\DeltaProcessingState.java,1.42,2007-04-13,145329,R3_3,2007-06-28,2007-06-26,-2 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\SetClasspathOperation.java,1.151,2007-04-13,145329,R3_3,2007-06-28,2007-06-26,-2 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\hierarchy\TypeHierarchy.java,1.100,2007-04-13,145329,R3_3,2007-06-28,2007-06-26,-2 days +00:00:00.000000000
org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\IndexSelector.java,1.37,2007-04-13,145329,R3_3,2007-06-28,2007-06-26,-2 days +00:00:00.000000000
org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\JavaSearchScope.java,1.57,2007-04-13,145329,R3_3,2007-06-28,2007-06-26,-2 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CreateElementInCUOperation.java,1.37,2007-04-03,178213,R3_3_1,2007-09-28,2007-04-27,-154 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CreateElementInCUOperation.java,1.37,2007-04-03,178213,R3_3,2007-06-28,2007-04-27,-62 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\impl\Constant.java,1.29,2005-04-11,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\problem\DefaultProblem.java,1.38,2005-04-11,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CommitWorkingCopyOperation.java,1.51,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CopyPackageFragmentRootOperation.java,1.23,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CreateImportOperation.java,1.28,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CreateInitializerOperation.java,1.25,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CreatePackageDeclarationOperation.java,1.25,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CreatePackageFragmentOperation.java,1.30,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CreateTypeOperation.java,1.29,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\DeleteElementsOperation.java,1.40,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\DeleteResourceElementsOperation.java,1.37,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\JavaModelStatus.java,1.38,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\MoveElementsOperation.java,1.18,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\MoveResourceElementsOperation.java,1.18,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\OverflowingLRUCache.java,1.33,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\RenameElementsOperation.java,1.21,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\RenameResourceElementsOperation.java,1.21,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\SourceRefElement.java,1.45,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\builder\BuildNotifier.java,1.29,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\builder\IncrementalImageBuilder.java,1.76,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\hierarchy\HierarchyResolver.java,1.59,2005-04-11,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\jdom\DOMCompilationUnit.java,1.30,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\jdom\DOMNode.java,1.25,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\jdom\DOMType.java,1.38,2005-04-08,89096,R3_1,2005-06-28,2005-05-13,-46 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\impl\Constant.java,1.29,2005-04-11,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\problem\DefaultProblem.java,1.38,2005-04-11,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CommitWorkingCopyOperation.java,1.51,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CopyPackageFragmentRootOperation.java,1.23,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CreateImportOperation.java,1.28,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CreateInitializerOperation.java,1.25,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CreatePackageDeclarationOperation.java,1.25,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CreatePackageFragmentOperation.java,1.30,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CreateTypeOperation.java,1.29,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\DeleteElementsOperation.java,1.40,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\DeleteResourceElementsOperation.java,1.37,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\JavaModelStatus.java,1.38,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\MoveElementsOperation.java,1.18,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\MoveResourceElementsOperation.java,1.18,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\OverflowingLRUCache.java,1.33,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\RenameElementsOperation.java,1.21,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\RenameResourceElementsOperation.java,1.21,2005-04-08,89096,R3_1_1,2005-09-28,2005-05-13,-138 days +00:00:00.000000000
