file,NOF_num,NOF_max,NOF_total,NSF_num,NSF_max,NSF_total,NOM_num,NOM_max,NOM_total,NSM_num,NSM_max,NSM_total,NOI,NOT,TLOC,pre,post,NOF_avg,NSF_avg,NOM_avg,NSM_avg
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\OpenDeclarationAction.java,1,1,1,1,0,0,1,3,3,1,0,0,0,1,54,0.0,0.0,1.0,0.0,3.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\AntEditorContentOutlinePage.java,8,18,18,8,2,2,8,50,65,8,0,0,0,8,670,6.0,32.0,2.25,0.25,8.125,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\AntEditorMarkerUpdater.java,2,4,5,2,1,1,2,11,12,2,0,0,0,2,183,6.0,32.0,2.5,0.5,6.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\AntModel.java,1,24,24,1,2,2,1,82,82,1,1,1,0,1,1371,0.0,0.0,24.0,2.0,82.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\AntModelProject.java,1,2,2,1,0,0,1,6,6,1,0,0,0,1,115,0.0,0.0,2.0,0.0,6.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\AntOutlineMessages.java,1,0,0,1,2,2,1,0,0,1,1,1,0,1,33,0.0,0.0,0.0,2.0,0.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\DocumentModelChangeEvent.java,1,2,2,1,0,0,1,2,2,1,0,0,0,1,42,0.0,0.0,2.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\FilterImportedElementsAction.java,1,1,1,1,0,0,1,2,2,1,0,0,0,1,44,0.0,32.0,1.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\FilterInternalTargetsAction.java,1,1,1,1,0,0,1,2,2,1,0,0,0,1,44,0.0,32.0,1.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\FilterPropertiesAction.java,1,1,1,1,0,0,1,2,2,1,0,0,0,1,44,0.0,32.0,1.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\FilterTopLevelAction.java,1,1,1,1,0,0,1,2,2,1,0,0,0,1,44,0.0,32.0,1.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\IDocumentModelListener.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\IProblem.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\IProblemRequestor.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0.0,0.0,,,,
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\LocationProvider.java,1,1,1,1,0,0,1,2,2,1,0,0,0,1,41,0.0,0.0,1.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\ToggleLinkWithEditorAction.java,1,1,1,1,0,0,1,1,1,1,0,0,0,1,46,0.0,32.0,1.0,0.0,1.0,0.0
