file,num_of_anony,num_of_interface,num_of_class,line_of_code
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\IAntLaunchConfigurationConstants.java,??,1,0,95
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\MessageIds.java,??,0,1,20
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\RemoteAntBuildListener.java,??,0,3,295
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\RemoteAntProcessFactory.java,??,0,1,33
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\RemoteAntRuntimeProcess.java,??,0,1,39
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\RunAntStatusHandler.java,??,0,1,33
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\TargetOrderDialog.java,??,0,1,254
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\TargetTableLabelProvider.java,??,0,1,105
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\TaskLinkManager.java,??,0,3,269
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\VariableInputDialog.java,??,0,1,150
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\model\AntImageDescriptor.java,??,0,1,135
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\model\AntUIImages.java,??,0,1,259
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\model\AntUIModelMessages.java,??,0,1,32
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\model\AntUIPlugin.java,??,0,1,225
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\model\AntUtil.java,??,0,1,508
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\model\ColorManager.java,??,0,1,59
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\model\IAntUIConstants.java,??,1,0,116
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\model\IAntUIHelpContextIds.java,??,1,0,72
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\model\IAntUIPreferenceConstants.java,??,1,0,75
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\model\ImageDescriptorRegistry.java,??,0,1,91
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\preferences\AbstractAntEditorPreferencePage.java,??,0,1,316
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\preferences\AbstractClasspathEntry.java,??,0,1,72
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\preferences\AddCustomDialog.java,??,0,1,633
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\preferences\AddPropertyDialog.java,??,0,1,175
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\preferences\AntClasspathBlock.java,??,0,1,612
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\preferences\AntClasspathContentProvider.java,??,0,1,211
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\preferences\AntClasspathLabelProvider.java,??,0,1,135
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\preferences\AntClasspathPage.java,??,0,1,181
