fileName,numOfClass,numOfInterface,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionOnBranchStatementLabel.java,1,0,34,0,0,2,4,4,23,12,5.75,1,1,0.25,11,5,2.75,5,2,1.25,3,3,0.75
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionOnJavadoc.java,0,1,13,0,0,0,2,8,2,1,1.0,-2,-1,-1.0,1,1,0.5,2,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\JavadocArrayQualifiedTypeReference.java,1,0,26,0,0,0,5,1,17,4,3.4,0,0,0.0,9,2,1.8,5,1,1.0,10,3,2.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\StructuralPropertyDescriptor.java,1,0,49,0,0,0,7,2,44,22,6.29,2,1,0.29,2,2,0.29,14,6,2.0,6,6,0.86
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\SourceRefElement.java,1,0,181,0,0,0,27,1,168,19,6.22,10,2,0.37,30,5,1.11,51,5,1.89,50,6,1.85
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\util\HashSetOfArray.java,1,0,114,0,0,0,11,3,98,19,8.91,8,2,0.73,7,2,0.64,33,6,3.0,18,4,1.64
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ForeachStatement.java,1,0,428,0,0,7,6,22,370,163,61.67,13,6,2.17,12,3,2.0,92,38,15.33,85,28,14.17
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\compiler\DocumentElementParser.java,1,0,1066,0,0,0,61,11,796,68,13.05,48,3,0.79,22,3,0.36,151,11,2.48,206,9,3.38
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\IMemberValuePairBinding.java,0,1,7,0,0,0,4,0,4,1,1.0,-4,-1,-1.0,0,0,0.0,4,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\problem\AbortCompilation.java,1,0,49,0,0,1,6,6,35,9,5.83,0,0,0.0,10,2,1.67,12,4,2.0,18,9,3.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\scripts\GenerateBuildScript.java,1,0,131,2,5,4,5,4,73,42,14.6,6,3,1.2,15,5,3.0,12,5,2.4,29,11,5.8
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\core\util\IOpcodeMnemonics.java,0,1,207,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\indexing\IIndexConstants.java,0,1,48,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\MoveResourceElementsOperation.java,1,0,14,0,0,0,3,0,9,3,3.0,0,0,0.0,3,3,1.0,3,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\parser\ParserBasicInformation.java,0,1,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\impl\ByteConstant.java,1,0,40,0,1,0,12,1,36,3,3.0,0,0,0.0,2,1,0.17,12,1,1.0,1,1,0.08
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\indexing\AddFolderToIndex.java,1,0,93,2,0,0,3,4,69,59,23.0,2,2,0.67,6,5,2.0,15,13,5.0,14,13,4.67
