file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
eclipse\org.eclipse.jface\src\org\eclipse\jface\util\TransferDropTargetListener.java,1.1,2003-04-16,10146,R3_0_2,2005-03-11,2005-06-28,109 days 00:00:00.000000000
eclipse\org.eclipse.jface\src\org\eclipse\jface\wizard\Wizard.java,1.5,2004-05-04,60786,R3_0_2,2005-03-11,2005-05-10,60 days 00:00:00.000000000
eclipse\org.eclipse.pde.ui\src\org\eclipse\pde\internal\ui\wizards\Attic\WizardListSelectionPage.java,1.10.2.1,2004-08-11,70946,R3_0_1,2004-09-16,2004-10-22,36 days 00:00:00.000000000
eclipse\pde\ui\org.eclipse.pde.ui\src\org\eclipse\pde\internal\ui\wizards\WizardListSelectionPage.java,1.10.2.1,2004-08-11,70946,R3_0_1,2004-09-16,2004-10-22,36 days 00:00:00.000000000
eclipse\org.eclipse.pde.ui\src_samples\org\eclipse\pde\ui\internal\samples\Attic\ProjectNamesPage.java,1.4.2.1,2004-08-16,71318,R3_0_1,2004-09-16,2004-10-07,21 days 00:00:00.000000000
eclipse\pde\ui\org.eclipse.pde.ui\src_samples\org\eclipse\pde\ui\internal\samples\Attic\ProjectNamesPage.java,1.4.2.1,2004-08-16,71318,R3_0_1,2004-09-16,2004-10-07,21 days 00:00:00.000000000
eclipse\org.eclipse.search\new search\org\eclipse\search2\internal\ui\text\WindowAnnotationManager.java,1.1,2004-06-04,65349,R3_0_2,2005-03-11,2005-06-08,89 days 00:00:00.000000000
eclipse\org.eclipse.swt\Eclipse SWT\gtk\org\eclipse\swt\graphics\Device.java,1.32.2.1,2004-09-01,70299,R3_0_1,2004-09-16,2004-12-01,76 days 00:00:00.000000000
eclipse\org.eclipse.swt\Eclipse SWT PI\gtk\org\eclipse\swt\internal\gtk\OS.java,1.299.2.2,2004-09-01,70299,R3_0_1,2004-09-16,2004-12-01,76 days 00:00:00.000000000
eclipse\org.eclipse.swt\Eclipse SWT\gtk\org\eclipse\swt\widgets\Group.java,1.42.2.1,2005-02-02,71237,R3_0_2,2005-03-11,2005-06-24,105 days 00:00:00.000000000
eclipse\org.eclipse.swt\Eclipse SWT\gtk\org\eclipse\swt\widgets\ToolItem.java,1.64.2.1,2004-08-31,71019,R3_0_2,2005-03-11,2005-08-02,144 days 00:00:00.000000000
eclipse\org.eclipse.swt\Eclipse SWT\motif\org\eclipse\swt\internal\Converter.java,1.20.2.3,2003-12-16,45877,R2_1_3,2004-03-10,2004-05-06,57 days 00:00:00.000000000
eclipse\org.eclipse.swt\Eclipse SWT PI\motif\org\eclipse\swt\internal\motif\OS.java,1.47.2.3,2003-12-16,45877,R2_1_3,2004-03-10,2004-05-06,57 days 00:00:00.000000000
eclipse\org.eclipse.swt\Eclipse SWT\motif\org\eclipse\swt\widgets\MenuItem.java,1.57.2.1,2004-08-25,47549,R3_0_1,2004-09-16,2004-09-17,1 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\SwtTestCase.java,1.14,2003-12-01,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\Test_org_eclipse_swt_graphics_Cursor.java,1.8,2003-09-30,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\Test_org_eclipse_swt_graphics_FontMetrics.java,1.7,2003-09-30,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\Test_org_eclipse_swt_graphics_ImageData.java,1.8,2003-10-20,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\Test_org_eclipse_swt_graphics_ImageLoaderEvent.java,1.6,2003-10-20,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\Test_org_eclipse_swt_graphics_PaletteData.java,1.6,2003-10-20,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\Test_org_eclipse_swt_widgets_Button.java,1.5,2003-10-30,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\Test_org_eclipse_swt_widgets_Canvas.java,1.6,2003-09-30,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\Test_org_eclipse_swt_widgets_Composite.java,1.7,2003-09-24,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\Test_org_eclipse_swt_widgets_Label.java,1.6,2003-09-25,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\Test_org_eclipse_swt_widgets_Layout.java,1.7,2003-09-24,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\Test_org_eclipse_swt_widgets_Menu.java,1.10,2003-10-30,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.swt.tests\JUnit Tests\org\eclipse\swt\tests\junit\Test_org_eclipse_swt_widgets_Scrollable.java,1.7,2003-09-25,43612,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.team.core\src\org\eclipse\team\core\variants\CachedResourceVariant.java,1.6.2.1,2004-08-11,68721,R3_0_2,2005-03-11,2005-07-05,116 days 00:00:00.000000000
eclipse\org.eclipse.team.cvs.core\src\org\eclipse\team\internal\ccvs\core\IResourceStateChangeListener.java,1.8,2003-09-26,43695,R3_0_1,2004-09-16,2004-12-16,91 days 00:00:00.000000000
eclipse\org.eclipse.team.cvs.core\src\org\eclipse\team\internal\ccvs\core\IResourceStateChangeListener.java,1.8,2003-09-26,43695,R3_0,2004-06-25,2004-12-16,174 days 00:00:00.000000000
eclipse\org.eclipse.team.cvs.ui\src\org\eclipse\team\internal\ccvs\ui\repo\RepositoriesView.java,1.23.2.1,2004-07-20,70445,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.team.cvs.ui\src\org\eclipse\team\internal\ccvs\ui\repo\RepositoryRoot.java,1.24.2.1,2004-07-20,70445,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
eclipse\org.eclipse.team.cvs.ui\src\org\eclipse\team\internal\ccvs\ui\wizards\ModuleSelectionPage.java,1.18.2.1,2004-07-20,70445,R3_0_2,2005-03-11,2005-05-31,81 days 00:00:00.000000000
