file,class,num_of_method,num_of_static_method
org.eclipse.jdt.internal.compiler.lookup.ProblemFieldBinding.java,ProblemFieldBinding,1,0
org.eclipse.jdt.internal.compiler.lookup.ProblemMethodBinding.java,ProblemMethodBinding,1,0
org.eclipse.jdt.internal.compiler.lookup.ProblemPackageBinding.java,ProblemPackageBinding,1,0
org.eclipse.jdt.internal.compiler.lookup.ProblemReferenceBinding.java,ProblemReferenceBinding,1,0
org.eclipse.jdt.internal.compiler.lookup.ReferenceBinding.java,ReferenceBinding,53,0
org.eclipse.jdt.internal.compiler.lookup.Scope.java,Scope,43,2
org.eclipse.jdt.internal.compiler.lookup.SyntheticAccessMethodBinding.java,SyntheticAccessMethodBinding,3,0
org.eclipse.jdt.internal.compiler.lookup.SyntheticArgumentBinding.java,SyntheticArgumentBinding,0,0
org.eclipse.jdt.internal.compiler.lookup.SyntheticFieldBinding.java,SyntheticFieldBinding,0,0
org.eclipse.jdt.internal.compiler.lookup.TypeBinding.java,TypeBinding,17,0
org.eclipse.jdt.internal.compiler.lookup.UnresolvedReferenceBinding.java,UnresolvedReferenceBinding,3,0
org.eclipse.jdt.internal.compiler.lookup.VariableBinding.java,VariableBinding,4,0
org.eclipse.jdt.internal.compiler.parser.NLSLine.java,NLSLine,7,0
org.eclipse.jdt.internal.compiler.parser.Parser.java,Parser,235,11
org.eclipse.jdt.internal.compiler.parser.RecoveredBlock.java,RecoveredBlock,17,0
org.eclipse.jdt.internal.compiler.parser.RecoveredElement.java,RecoveredElement,27,0
org.eclipse.jdt.internal.compiler.parser.RecoveredField.java,RecoveredField,10,0
org.eclipse.jdt.internal.compiler.parser.RecoveredImport.java,RecoveredImport,6,0
org.eclipse.jdt.internal.compiler.parser.RecoveredInitializer.java,RecoveredInitializer,10,0
org.eclipse.jdt.internal.compiler.parser.RecoveredLocalVariable.java,RecoveredLocalVariable,8,0
org.eclipse.jdt.internal.compiler.parser.RecoveredMethod.java,RecoveredMethod,15,0
org.eclipse.jdt.internal.compiler.parser.RecoveredStatement.java,RecoveredStatement,6,0
org.eclipse.jdt.internal.compiler.parser.RecoveredType.java,RecoveredType,19,0
org.eclipse.jdt.internal.compiler.parser.RecoveredUnit.java,RecoveredUnit,10,0
org.eclipse.jdt.internal.compiler.parser.Scanner.java,Scanner,38,0
org.eclipse.jdt.internal.compiler.parser.SourceConstructorDeclaration.java,SourceConstructorDeclaration,0,0
org.eclipse.jdt.internal.compiler.parser.SourceFieldDeclaration.java,SourceFieldDeclaration,0,0
org.eclipse.jdt.internal.compiler.parser.SourceMethodDeclaration.java,SourceMethodDeclaration,0,0
org.eclipse.jdt.internal.compiler.parser.SourceTypeConverter.java,SourceTypeConverter,0,6
org.eclipse.jdt.internal.compiler.problem.AbortCompilation.java,AbortCompilation,0,0
org.eclipse.jdt.internal.compiler.problem.AbortCompilationUnit.java,AbortCompilationUnit,0,0
org.eclipse.jdt.internal.compiler.problem.AbortMethod.java,AbortMethod,0,0
org.eclipse.jdt.internal.compiler.problem.AbortType.java,AbortType,0,0
org.eclipse.jdt.internal.compiler.problem.DefaultProblem.java,DefaultProblem,14,0
org.eclipse.jdt.internal.compiler.problem.DefaultProblemFactory.java,DefaultProblemFactory,4,1
org.eclipse.jdt.internal.compiler.problem.ProblemHandler.java,ProblemHandler,5,1
org.eclipse.jdt.internal.compiler.problem.ProblemReporter.java,ProblemReporter,191,0
org.eclipse.jdt.internal.compiler.problem.ShouldNotImplement.java,ShouldNotImplement,0,0
org.eclipse.jdt.internal.compiler.SourceElementParser.java,SourceElementParser,40,1
org.eclipse.jdt.internal.compiler.SourceElementParser.java,LocalDeclarationVisitor,3,0
org.eclipse.jdt.internal.compiler.SourceElementRequestorAdapter.java,SourceElementRequestorAdapter,25,0
org.eclipse.jdt.internal.compiler.util.CharOperation.java,CharOperation,0,43
org.eclipse.jdt.internal.compiler.util.CompoundNameVector.java,CompoundNameVector,7,0
org.eclipse.jdt.internal.compiler.util.HashtableOfInt.java,HashtableOfInt,6,0
org.eclipse.jdt.internal.compiler.util.HashtableOfObject.java,HashtableOfObject,8,0
org.eclipse.jdt.internal.compiler.util.HashtableOfPackage.java,HashtableOfPackage,6,0
org.eclipse.jdt.internal.compiler.util.HashtableOfType.java,HashtableOfType,6,0
org.eclipse.jdt.internal.compiler.util.ObjectVector.java,ObjectVector,13,0
org.eclipse.jdt.internal.compiler.util.SimpleNameVector.java,SimpleNameVector,9,0
org.eclipse.jdt.internal.compiler.util.Util.java,Util,0,14
org.eclipse.jdt.internal.core.Assert.java,Assert,0,6
org.eclipse.jdt.internal.core.Assert.java,AssertionFailedException,0,0
org.eclipse.jdt.internal.core.BasicCompilationUnit.java,BasicCompilationUnit,5,0
org.eclipse.jdt.internal.core.BinaryField.java,BinaryField,5,0
org.eclipse.jdt.internal.core.BinaryMember.java,BinaryMember,9,0
org.eclipse.jdt.internal.core.BinaryMethod.java,BinaryMethod,18,0
org.eclipse.jdt.internal.core.BinaryMethod.java,DecodeParametersNames,3,0
org.eclipse.jdt.internal.core.BinaryType.java,BinaryType,41,0
org.eclipse.jdt.internal.core.Buffer.java,Buffer,26,0
org.eclipse.jdt.internal.core.BufferCache.java,BufferCache,2,0
org.eclipse.jdt.internal.core.BufferManager.java,BufferManager,6,1
org.eclipse.jdt.internal.core.builder.AbortIncrementalBuildException.java,AbortIncrementalBuildException,0,0
org.eclipse.jdt.internal.core.builder.AbstractImageBuilder.java,AbstractImageBuilder,15,0
org.eclipse.jdt.internal.core.builder.AdditionalTypeCollection.java,AdditionalTypeCollection,0,0
org.eclipse.jdt.internal.core.builder.BatchImageBuilder.java,BatchImageBuilder,8,0
org.eclipse.jdt.internal.core.builder.BuildNotifier.java,BuildNotifier,14,0
org.eclipse.jdt.internal.core.builder.ClasspathDirectory.java,ClasspathDirectory,8,0
org.eclipse.jdt.internal.core.builder.ClasspathJar.java,ClasspathJar,5,0
org.eclipse.jdt.internal.core.builder.ClasspathLocation.java,ClasspathLocation,4,3
org.eclipse.jdt.internal.core.builder.ClasspathMultiDirectory.java,ClasspathMultiDirectory,3,0
org.eclipse.jdt.internal.core.builder.ImageBuilderInternalException.java,ImageBuilderInternalException,2,0
org.eclipse.jdt.internal.core.builder.IncrementalImageBuilder.java,IncrementalImageBuilder,15,0
org.eclipse.jdt.internal.core.builder.JavaBuilder.java,JavaBuilder,17,4
org.eclipse.jdt.internal.core.builder.MissingClassFileException.java,MissingClassFileException,0,0
org.eclipse.jdt.internal.core.builder.MissingSourceFileException.java,MissingSourceFileException,0,0
org.eclipse.jdt.internal.core.builder.NameEnvironment.java,NameEnvironment,9,1
org.eclipse.jdt.internal.core.builder.ProblemFactory.java,ProblemFactory,0,1
org.eclipse.jdt.internal.core.builder.ReferenceCollection.java,ReferenceCollection,3,4
org.eclipse.jdt.internal.core.builder.SimpleLookupTable.java,SimpleLookupTable,8,0
org.eclipse.jdt.internal.core.builder.SourceFile.java,SourceFile,5,0
org.eclipse.jdt.internal.core.builder.State.java,State,17,2
org.eclipse.jdt.internal.core.builder.WorkQueue.java,WorkQueue,7,0
org.eclipse.jdt.internal.core.ClassFile.java,ClassFile,38,4
org.eclipse.jdt.internal.core.ClassFileInfo.java,ClassFileInfo,7,0
org.eclipse.jdt.internal.core.ClassFileWorkingCopy.java,ClassFileWorkingCopy,62,0
org.eclipse.jdt.internal.core.ClasspathEntry.java,ClasspathEntry,11,0
org.eclipse.jdt.internal.core.CommitWorkingCopyOperation.java,CommitWorkingCopyOperation,4,0
org.eclipse.jdt.internal.core.CompilationUnit.java,CompilationUnit,79,0
org.eclipse.jdt.internal.core.CompilationUnitElementInfo.java,CompilationUnitElementInfo,3,0
org.eclipse.jdt.internal.core.CompilationUnitProblemFinder.java,CompilationUnitProblemFinder,3,5
org.eclipse.jdt.internal.core.CompilationUnitStructureRequestor.java,CompilationUnitStructureRequestor,22,1
org.eclipse.jdt.internal.core.CompilationUnitVisitor.java,CompilationUnitVisitor,5,5
org.eclipse.jdt.internal.core.CompletionRequestorWrapper.java,CompletionRequestorWrapper,16,0
org.eclipse.jdt.internal.core.CopyElementsOperation.java,CopyElementsOperation,8,0
org.eclipse.jdt.internal.core.CreateCompilationUnitOperation.java,CreateCompilationUnitOperation,3,0
org.eclipse.jdt.internal.core.CreateElementInCUOperation.java,CreateElementInCUOperation,17,0
org.eclipse.jdt.internal.core.CreateFieldOperation.java,CreateFieldOperation,5,0
org.eclipse.jdt.internal.core.CreateImportOperation.java,CreateImportOperation,5,0
org.eclipse.jdt.internal.core.CreateInitializerOperation.java,CreateInitializerOperation,4,0
org.eclipse.jdt.internal.core.CreateMethodOperation.java,CreateMethodOperation,5,0
org.eclipse.jdt.internal.core.CreatePackageDeclarationOperation.java,CreatePackageDeclarationOperation,5,0
org.eclipse.jdt.internal.core.CreatePackageFragmentOperation.java,CreatePackageFragmentOperation,2,0
org.eclipse.jdt.internal.core.CreateTypeHierarchyOperation.java,CreateTypeHierarchyOperation,4,0
org.eclipse.jdt.internal.core.CreateTypeMemberOperation.java,CreateTypeMemberOperation,6,0
org.eclipse.jdt.internal.core.CreateTypeOperation.java,CreateTypeOperation,5,0
org.eclipse.jdt.internal.core.DeleteElementsOperation.java,DeleteElementsOperation,5,0
org.eclipse.jdt.internal.core.DeleteResourceElementsOperation.java,DeleteResourceElementsOperation,4,0
org.eclipse.jdt.internal.core.DeltaProcessor.java,DeltaProcessor,30,2
org.eclipse.jdt.internal.core.ElementCache.java,ElementCache,2,0
org.eclipse.jdt.internal.core.eval.EvaluationContextWrapper.java,EvaluationContextWrapper,35,0
org.eclipse.jdt.internal.core.eval.GlobalVariableWrapper.java,GlobalVariableWrapper,3,0
org.eclipse.jdt.internal.core.eval.RequestorWrapper.java,RequestorWrapper,2,0
org.eclipse.jdt.internal.core.FailedReconciliationException.java,FailedReconciliationException,0,0
org.eclipse.jdt.internal.core.HandleFactory.java,HandleFactory,3,0
org.eclipse.jdt.internal.core.hierarchy.HierarchyBinaryType.java,HierarchyBinaryType,18,0
org.eclipse.jdt.internal.core.hierarchy.HierarchyBuilder.java,HierarchyBuilder,16,0
org.eclipse.jdt.internal.core.hierarchy.HierarchyResolver.java,HierarchyResolver,22,0
org.eclipse.jdt.internal.core.hierarchy.HierarchyResolver.java,MissingType,6,0
org.eclipse.jdt.internal.core.hierarchy.HierarchyType.java,HierarchyType,5,0
org.eclipse.jdt.internal.core.hierarchy.IndexBasedHierarchyBuilder.java,IndexBasedHierarchyBuilder,14,1
org.eclipse.jdt.internal.core.hierarchy.IndexBasedHierarchyBuilder.java,Queue,3,0
org.eclipse.jdt.internal.core.hierarchy.IndexBasedHierarchyBuilder.java,PathCollector,1,0
org.eclipse.jdt.internal.core.hierarchy.RegionBasedHierarchyBuilder.java,RegionBasedHierarchyBuilder,9,0
org.eclipse.jdt.internal.core.hierarchy.RegionBasedTypeHierarchy.java,RegionBasedTypeHierarchy,8,0
org.eclipse.jdt.internal.core.hierarchy.TypeHierarchy.java,TypeHierarchy,69,0
org.eclipse.jdt.internal.core.ImportContainer.java,ImportContainer,7,0
org.eclipse.jdt.internal.core.ImportDeclaration.java,ImportDeclaration,5,0
org.eclipse.jdt.internal.core.index.DocumentFactory.java,DocumentFactory,0,2
org.eclipse.jdt.internal.core.index.impl.Block.java,Block,4,0
org.eclipse.jdt.internal.core.index.impl.BlocksIndexInput.java,BlocksIndexInput,23,0
org.eclipse.jdt.internal.core.index.impl.BlocksIndexOutput.java,BlocksIndexOutput,8,0
org.eclipse.jdt.internal.core.index.impl.CodeByteStream.java,CodeByteStream,24,0
org.eclipse.jdt.internal.core.index.impl.EntryResult.java,EntryResult,5,0
org.eclipse.jdt.internal.core.index.impl.Field.java,Field,44,3
org.eclipse.jdt.internal.core.index.impl.FileDocument.java,FileDocument,5,0
org.eclipse.jdt.internal.core.index.impl.FileListBlock.java,FileListBlock,7,0
org.eclipse.jdt.internal.core.index.impl.GammaCompressedIndexBlock.java,GammaCompressedIndexBlock,6,0
org.eclipse.jdt.internal.core.index.impl.IFileDocument.java,IFileDocument,5,0
org.eclipse.jdt.internal.core.index.impl.Index.java,Index,19,0
org.eclipse.jdt.internal.core.index.impl.IndexBlock.java,IndexBlock,8,0
org.eclipse.jdt.internal.core.index.impl.IndexedFile.java,IndexedFile,10,1
org.eclipse.jdt.internal.core.index.impl.IndexedFileHashedArray.java,IndexedFileHashedArray,7,0
org.eclipse.jdt.internal.core.index.impl.IndexerOutput.java,IndexerOutput,3,0
org.eclipse.jdt.internal.core.index.impl.IndexInput.java,IndexInput,21,0
org.eclipse.jdt.internal.core.index.impl.IndexOutput.java,IndexOutput,6,0
org.eclipse.jdt.internal.core.index.impl.IndexSummary.java,IndexSummary,17,0
org.eclipse.jdt.internal.core.index.impl.IndexSummary.java,FirstFileInBlock,0,0
org.eclipse.jdt.internal.core.index.impl.IndexSummary.java,FirstWordInBlock,1,0
org.eclipse.jdt.internal.core.index.impl.InMemoryIndex.java,InMemoryIndex,16,0
org.eclipse.jdt.internal.core.index.impl.Int.java,Int,0,0
org.eclipse.jdt.internal.core.index.impl.JarFileDocument.java,JarFileDocument,6,0
org.eclipse.jdt.internal.core.index.impl.JarFileEntryDocument.java,JarFileEntryDocument,6,0
org.eclipse.jdt.internal.core.index.impl.LRUCache.java,LRUCache,24,0
org.eclipse.jdt.internal.core.index.impl.LRUCache.java,LRUCacheEntry,1,0
org.eclipse.jdt.internal.core.index.impl.MergeFactory.java,MergeFactory,6,0
org.eclipse.jdt.internal.core.index.impl.PropertyDocument.java,PropertyDocument,3,0
org.eclipse.jdt.internal.core.index.impl.SafeRandomAccessFile.java,SafeRandomAccessFile,1,0
org.eclipse.jdt.internal.core.index.impl.SimpleIndexBlock.java,SimpleIndexBlock,6,0
org.eclipse.jdt.internal.core.index.impl.SimpleIndexInput.java,SimpleIndexInput,18,0
org.eclipse.jdt.internal.core.index.impl.Util.java,Util,0,16
org.eclipse.jdt.internal.core.index.impl.WordEntry.java,WordEntry,10,0
org.eclipse.jdt.internal.core.index.impl.WordEntryHashedArray.java,WordEntryHashedArray,5,0
org.eclipse.jdt.internal.core.Initializer.java,Initializer,7,0
org.eclipse.jdt.internal.core.InitializerElementInfo.java,InitializerElementInfo,0,0
org.eclipse.jdt.internal.core.JarEntryFile.java,JarEntryFile,5,0
org.eclipse.jdt.internal.core.JarPackageFragment.java,JarPackageFragment,14,0
org.eclipse.jdt.internal.core.JarPackageFragmentInfo.java,JarPackageFragmentInfo,3,0
org.eclipse.jdt.internal.core.JarPackageFragmentRoot.java,JarPackageFragmentRoot,32,0
org.eclipse.jdt.internal.core.JarPackageFragmentRootInfo.java,JarPackageFragmentRootInfo,3,0
org.eclipse.jdt.internal.core.JavaElement.java,JavaElement,55,0
org.eclipse.jdt.internal.core.JavaElementDelta.java,JavaElementDelta,35,0
org.eclipse.jdt.internal.core.JavaElementDeltaBuilder.java,JavaElementDeltaBuilder,22,0
org.eclipse.jdt.internal.core.JavaElementDeltaBuilder.java,ListItem,0,0
org.eclipse.jdt.internal.core.JavaElementInfo.java,JavaElementInfo,10,0
org.eclipse.jdt.internal.core.JavaElementRequestor.java,JavaElementRequestor,15,0
org.eclipse.jdt.internal.core.JavaModel.java,JavaModel,26,2
org.eclipse.jdt.internal.core.JavaModelCache.java,JavaModelCache,6,0
org.eclipse.jdt.internal.core.JavaModelInfo.java,JavaModelInfo,0,0
org.eclipse.jdt.internal.core.JavaModelManager.java,JavaModelManager,50,13
org.eclipse.jdt.internal.core.JavaModelManager.java,PerProjectInfo,0,0
org.eclipse.jdt.internal.core.JavaModelManager.java,PluginPreferencesListener,1,0
org.eclipse.jdt.internal.core.JavaModelOperation.java,JavaModelOperation,39,0
org.eclipse.jdt.internal.core.JavaModelStatus.java,JavaModelStatus,13,1
org.eclipse.jdt.internal.core.JavaProject.java,JavaProject,85,5
org.eclipse.jdt.internal.core.JavaProjectElementInfo.java,JavaProjectElementInfo,11,0
org.eclipse.jdt.internal.core.jdom.AbstractDOMBuilder.java,AbstractDOMBuilder,10,0
org.eclipse.jdt.internal.core.jdom.CompilationUnit.java,CompilationUnit,5,0
org.eclipse.jdt.internal.core.jdom.DOMBuilder.java,DOMBuilder,31,0
org.eclipse.jdt.internal.core.jdom.DOMCompilationUnit.java,DOMCompilationUnit,14,0
org.eclipse.jdt.internal.core.jdom.DOMField.java,DOMField,38,0
org.eclipse.jdt.internal.core.jdom.DOMImport.java,DOMImport,9,0
org.eclipse.jdt.internal.core.jdom.DOMInitializer.java,DOMInitializer,15,0
org.eclipse.jdt.internal.core.jdom.DOMMember.java,DOMMember,20,0
org.eclipse.jdt.internal.core.jdom.DOMMethod.java,DOMMethod,34,0
org.eclipse.jdt.internal.core.jdom.DOMNode.java,DOMNode,52,0
org.eclipse.jdt.internal.core.jdom.DOMPackage.java,DOMPackage,8,0
org.eclipse.jdt.internal.core.jdom.DOMType.java,DOMType,31,0
org.eclipse.jdt.internal.core.jdom.SiblingEnumeration.java,SiblingEnumeration,2,0
org.eclipse.jdt.internal.core.jdom.SimpleDOMBuilder.java,SimpleDOMBuilder,21,0
org.eclipse.jdt.internal.core.LRUCacheEnumerator.java,LRUCacheEnumerator,2,0
org.eclipse.jdt.internal.core.LRUCacheEnumerator.java,LRUEnumeratorElement,0,0
org.eclipse.jdt.internal.core.Member.java,Member,16,1
org.eclipse.jdt.internal.core.MemberElementInfo.java,MemberElementInfo,8,0
org.eclipse.jdt.internal.core.ModelUpdater.java,ModelUpdater,7,1
org.eclipse.jdt.internal.core.MoveElementsOperation.java,MoveElementsOperation,2,0
org.eclipse.jdt.internal.core.MoveResourceElementsOperation.java,MoveResourceElementsOperation,2,0
org.eclipse.jdt.internal.core.MultiOperation.java,MultiOperation,17,0
org.eclipse.jdt.internal.core.NameLookup.java,NameLookup,17,0
org.eclipse.jdt.internal.core.NonVoidMethodRequestor.java,NonVoidMethodRequestor,1,0
org.eclipse.jdt.internal.core.Openable.java,Openable,46,0
org.eclipse.jdt.internal.core.OpenableElementInfo.java,OpenableElementInfo,0,0
org.eclipse.jdt.internal.core.OverflowingLRUCache.java,OverflowingLRUCache,21,0
org.eclipse.jdt.internal.core.OverflowingLRUCache.java,Temp,1,0
org.eclipse.jdt.internal.core.PackageDeclaration.java,PackageDeclaration,3,0
org.eclipse.jdt.internal.core.PackageFragment.java,PackageFragment,25,0
org.eclipse.jdt.internal.core.PackageFragmentInfo.java,PackageFragmentInfo,4,0
org.eclipse.jdt.internal.core.PackageFragmentRoot.java,PackageFragmentRoot,28,0
org.eclipse.jdt.internal.core.PackageFragmentRootInfo.java,PackageFragmentRootInfo,6,0
org.eclipse.jdt.internal.core.Region.java,Region,7,0
org.eclipse.jdt.internal.core.RenameElementsOperation.java,RenameElementsOperation,4,0
org.eclipse.jdt.internal.core.RenameResourceElementsOperation.java,RenameResourceElementsOperation,3,0
org.eclipse.jdt.internal.core.search.AbstractSearchScope.java,AbstractSearchScope,5,0
org.eclipse.jdt.internal.core.search.HierarchyScope.java,HierarchyScope,10,0
org.eclipse.jdt.internal.core.search.indexing.AbstractIndexer.java,AbstractIndexer,15,11
org.eclipse.jdt.internal.core.search.indexing.AddClassFileToIndex.java,AddClassFileToIndex,5,0
org.eclipse.jdt.internal.core.search.indexing.AddCompilationUnitToIndex.java,AddCompilationUnitToIndex,5,0
org.eclipse.jdt.internal.core.search.indexing.AddJarFileToIndex.java,AddJarFileToIndex,5,0
org.eclipse.jdt.internal.core.search.indexing.BinaryIndexer.java,BinaryIndexer,17,0
org.eclipse.jdt.internal.core.search.indexing.IndexAllProject.java,IndexAllProject,6,0
org.eclipse.jdt.internal.core.search.indexing.IndexBinaryFolder.java,IndexBinaryFolder,6,0
org.eclipse.jdt.internal.core.search.indexing.IndexManager.java,IndexManager,23,0
org.eclipse.jdt.internal.core.search.indexing.IndexRequest.java,IndexRequest,1,0
org.eclipse.jdt.internal.core.search.indexing.ReadWriteMonitor.java,ReadWriteMonitor,5,0
org.eclipse.jdt.internal.core.search.indexing.RemoveFolderFromIndex.java,RemoveFolderFromIndex,4,0
org.eclipse.jdt.internal.core.search.indexing.RemoveFromIndex.java,RemoveFromIndex,4,0
org.eclipse.jdt.internal.core.search.indexing.SourceIndexer.java,SourceIndexer,3,0
org.eclipse.jdt.internal.core.search.indexing.SourceIndexerRequestor.java,SourceIndexerRequestor,28,0
org.eclipse.jdt.internal.core.search.IndexSearchAdapter.java,IndexSearchAdapter,11,0
org.eclipse.jdt.internal.core.search.IndexSelector.java,IndexSelector,5,0
org.eclipse.jdt.internal.core.search.JavaSearchScope.java,JavaSearchScope,12,0
org.eclipse.jdt.internal.core.search.JavaWorkspaceScope.java,JavaWorkspaceScope,8,0
org.eclipse.jdt.internal.core.search.matching.AndPattern.java,AndPattern,3,0
org.eclipse.jdt.internal.core.search.matching.ConstructorDeclarationPattern.java,ConstructorDeclarationPattern,8,0
org.eclipse.jdt.internal.core.search.matching.ConstructorReferencePattern.java,ConstructorReferencePattern,9,0
org.eclipse.jdt.internal.core.search.matching.DeclarationOfAccessedFieldsPattern.java,DeclarationOfAccessedFieldsPattern,2,0
org.eclipse.jdt.internal.core.search.matching.DeclarationOfReferencedMethodsPattern.java,DeclarationOfReferencedMethodsPattern,2,0
org.eclipse.jdt.internal.core.search.matching.DeclarationOfReferencedTypesPattern.java,DeclarationOfReferencedTypesPattern,3,0
org.eclipse.jdt.internal.core.search.matching.FieldDeclarationPattern.java,FieldDeclarationPattern,10,0
org.eclipse.jdt.internal.core.search.matching.FieldReferencePattern.java,FieldReferencePattern,17,0
org.eclipse.jdt.internal.core.search.matching.FileNameEnvironment.java,FileNameEnvironment,1,0
org.eclipse.jdt.internal.core.search.matching.MatchingOpenable.java,MatchingOpenable,10,0
org.eclipse.jdt.internal.core.search.matching.MatchingOpenableSet.java,MatchingOpenableSet,2,0
org.eclipse.jdt.internal.core.search.matching.MatchLocator.java,MatchLocator,49,0
org.eclipse.jdt.internal.core.search.matching.MatchLocatorParser.java,MatchLocatorParser,24,0
org.eclipse.jdt.internal.core.search.matching.MatchLocatorParser.java,LocalDeclarationVisitor,7,0
org.eclipse.jdt.internal.core.search.matching.MatchSet.java,MatchSet,19,0
org.eclipse.jdt.internal.core.search.matching.MatchSet.java,LocalDeclarationVisitor,3,0
org.eclipse.jdt.internal.core.search.matching.MatchSet.java,WrappedCoreException,0,0
org.eclipse.jdt.internal.core.search.matching.MethodDeclarationPattern.java,MethodDeclarationPattern,8,0
org.eclipse.jdt.internal.core.search.matching.MethodPattern.java,MethodPattern,4,0
org.eclipse.jdt.internal.core.search.matching.MethodReferencePattern.java,MethodReferencePattern,10,0
org.eclipse.jdt.internal.core.search.matching.MultipleSearchPattern.java,MultipleSearchPattern,2,0
org.eclipse.jdt.internal.core.search.matching.OrNameCombiner.java,OrNameCombiner,11,0
org.eclipse.jdt.internal.core.search.matching.OrPathCombiner.java,OrPathCombiner,11,0
org.eclipse.jdt.internal.core.search.matching.OrPattern.java,OrPattern,12,0
org.eclipse.jdt.internal.core.search.matching.PackageDeclarationPattern.java,PackageDeclarationPattern,8,0
org.eclipse.jdt.internal.core.search.matching.PackageReferencePattern.java,PackageReferencePattern,17,0
org.eclipse.jdt.internal.core.search.matching.QualifiedTypeDeclarationPattern.java,QualifiedTypeDeclarationPattern,5,0
org.eclipse.jdt.internal.core.search.matching.SearchPattern.java,SearchPattern,21,9
org.eclipse.jdt.internal.core.search.matching.SuperInterfaceReferencePattern.java,SuperInterfaceReferencePattern,4,0
org.eclipse.jdt.internal.core.search.matching.SuperTypeNamesCollector.java,SuperTypeNamesCollector,25,0
org.eclipse.jdt.internal.core.search.matching.SuperTypeNamesCollector.java,TypeDeclarationVisitor,8,0
org.eclipse.jdt.internal.core.search.matching.SuperTypeReferencePattern.java,SuperTypeReferencePattern,10,0
org.eclipse.jdt.internal.core.search.matching.TypeDeclarationPattern.java,TypeDeclarationPattern,11,0
org.eclipse.jdt.internal.core.search.matching.TypeReferencePattern.java,TypeReferencePattern,19,0
org.eclipse.jdt.internal.core.search.PathCollector.java,PathCollector,14,0
org.eclipse.jdt.internal.core.search.PatternSearchJob.java,PatternSearchJob,5,0
org.eclipse.jdt.internal.core.search.processing.JobManager.java,JobManager,15,1
org.eclipse.jdt.internal.core.search.SubTypeSearchJob.java,SubTypeSearchJob,2,0
org.eclipse.jdt.internal.core.search.Util.java,Util,0,5
org.eclipse.jdt.internal.core.SearchableEnvironment.java,SearchableEnvironment,21,0
org.eclipse.jdt.internal.core.SearchableEnvironmentRequestor.java,SearchableEnvironmentRequestor,3,0
org.eclipse.jdt.internal.core.SelectionRequestor.java,SelectionRequestor,12,0
org.eclipse.jdt.internal.core.SetClasspathOperation.java,SetClasspathOperation,17,0
org.eclipse.jdt.internal.core.SingleTypeRequestor.java,SingleTypeRequestor,9,0
org.eclipse.jdt.internal.core.SourceField.java,SourceField,5,0
org.eclipse.jdt.internal.core.SourceFieldElementInfo.java,SourceFieldElementInfo,5,0
org.eclipse.jdt.internal.core.SourceMapper.java,SourceMapper,34,0
org.eclipse.jdt.internal.core.SourceMethod.java,SourceMethod,16,0
org.eclipse.jdt.internal.core.SourceMethodElementInfo.java,SourceMethodElementInfo,12,0
org.eclipse.jdt.internal.core.SourceRange.java,SourceRange,3,0
org.eclipse.jdt.internal.core.SourceRefElement.java,SourceRefElement,17,0
org.eclipse.jdt.internal.core.SourceRefElementInfo.java,SourceRefElementInfo,5,0
org.eclipse.jdt.internal.core.SourceType.java,SourceType,43,0
org.eclipse.jdt.internal.core.SourceType.java,TypeResolveRequestor,7,0
org.eclipse.jdt.internal.core.SourceTypeElementInfo.java,SourceTypeElementInfo,24,0
org.eclipse.jdt.internal.core.TypeConverter.java,TypeConverter,0,5
org.eclipse.jdt.internal.core.TypeVector.java,TypeVector,10,0
org.eclipse.jdt.internal.core.util.AnonymousFileSource.java,AnonymousFileSource,6,1
org.eclipse.jdt.internal.core.util.CharArrayBuffer.java,CharArrayBuffer,6,0
org.eclipse.jdt.internal.core.util.CharArrayOps.java,CharArrayOps,0,7
org.eclipse.jdt.internal.core.util.ClassFileAttribute.java,ClassFileAttribute,3,0
org.eclipse.jdt.internal.core.util.ClassFileReader.java,ClassFileReader,22,0
org.eclipse.jdt.internal.core.util.ClassFileStruct.java,ClassFileStruct,11,0
org.eclipse.jdt.internal.core.util.CodeAttribute.java,CodeAttribute,12,0
org.eclipse.jdt.internal.core.util.ConstantPool.java,ConstantPool,4,0
org.eclipse.jdt.internal.core.util.ConstantPoolEntry.java,ConstantPoolEntry,43,0
org.eclipse.jdt.internal.core.util.ConstantValueAttribute.java,ConstantValueAttribute,3,0
org.eclipse.jdt.internal.core.util.DefaultBytecodeVisitor.java,DefaultBytecodeVisitor,219,0
org.eclipse.jdt.internal.core.util.Disassembler.java,Disassembler,18,0
org.eclipse.jdt.internal.core.util.Dumper.java,Dumper,24,0
org.eclipse.jdt.internal.core.util.ExceptionAttribute.java,ExceptionAttribute,4,0
org.eclipse.jdt.internal.core.util.ExceptionTableEntry.java,ExceptionTableEntry,5,0
org.eclipse.jdt.internal.core.util.FieldInfo.java,FieldInfo,12,0
org.eclipse.jdt.internal.core.util.InnerClassesAttribute.java,InnerClassesAttribute,2,0
org.eclipse.jdt.internal.core.util.InnerClassesAttributeEntry.java,InnerClassesAttributeEntry,7,0
org.eclipse.jdt.internal.core.Util.java,Util,2,61
org.eclipse.jdt.internal.core.util.LineNumberAttribute.java,LineNumberAttribute,3,0
org.eclipse.jdt.internal.core.util.LocalVariableAttribute.java,LocalVariableAttribute,3,0
org.eclipse.jdt.internal.core.util.LocalVariableTableEntry.java,LocalVariableTableEntry,7,0
