file,bugID
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,75489
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,74355
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,66533
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,70717
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,63871
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,58946
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,59421
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,55478
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,50025
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,42629
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,35926
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,33753
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,26260
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,29637
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,28672
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,27890
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,27890
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,27597
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,22358
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,20215
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,12000
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,10240
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,9912
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,7354
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionElementNotifier.java,6930
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionElementNotifier.java,202470
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionEngine.java,267091
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionEngine.java,281575
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionEngine.java,267091
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionEngine.java,281575
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionEngine.java,281575
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionEngine.java,273991
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionEngine.java,281575
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionEngine.java,276890
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionEngine.java,84720
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionEngine.java,246832
