file,NOF_num,NOF_max,NOF_total,NSF_num,NSF_max,NSF_total,NOM_num,NOM_max,NOM_total,NSM_num,NSM_max,NSM_total,NOI,NOT,TLOC,num_of_bug,buggy,NOF_avg,NSF_avg,NOM_avg,NSM_avg
eclipse\org.eclipse.jface\runtime-util\org\eclipse\core\runtime\IProgressMonitor.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,128,0.0,False,,,,
eclipse\org.eclipse.jface\runtime-util\org\eclipse\core\runtime\IProgressMonitorWithBlocking.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0.0,False,,,,
eclipse\org.eclipse.jface\runtime-util\org\eclipse\core\runtime\ISafeRunnable.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0.0,False,,,,
eclipse\org.eclipse.jface\runtime-util\org\eclipse\core\runtime\IStatus.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,184,0.0,False,,,,
eclipse\org.eclipse.jface\runtime-util\org\eclipse\core\runtime\MultiStatus.java,1,1,1,1,0,0,1,6,6,1,1,1,0,1,151,0.0,False,1.0,0.0,6.0,1.0
eclipse\org.eclipse.jface\runtime-util\org\eclipse\core\runtime\NullProgressMonitor.java,1,1,1,1,0,0,1,8,8,1,0,0,0,1,124,0.0,False,1.0,0.0,8.0,0.0
eclipse\org.eclipse.jface\runtime-util\org\eclipse\core\runtime\OperationCanceledException.java,1,0,0,1,1,1,1,0,0,1,0,0,0,1,42,0.0,False,0.0,1.0,0.0,0.0
eclipse\org.eclipse.jface\runtime-util\org\eclipse\core\runtime\ProgressMonitorWrapper.java,1,1,1,1,0,0,1,11,11,1,0,0,0,1,170,0.0,False,1.0,0.0,11.0,0.0
eclipse\org.eclipse.jface\runtime-util\org\eclipse\core\runtime\Status.java,1,5,5,1,3,3,1,15,15,1,0,0,0,1,233,0.0,False,5.0,3.0,15.0,0.0
eclipse\org.eclipse.jface\runtime-util\org\eclipse\core\runtime\SubProgressMonitor.java,1,7,7,1,2,2,1,5,5,1,0,0,0,1,175,0.0,False,7.0,2.0,5.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\AbstractGroupMarker.java,1,0,0,1,0,0,1,2,2,1,0,0,0,1,56,0.0,False,0.0,0.0,2.0,0.0
