NOT,NOI,TLOC,ACD,NSM,NSF,NOM,NOF,MLOC_total,MLOC_max,NBD_total,NBD_max,PAR_total,PAR_max,VG_total,VG_max,FOUT_total,FOUT_max,file,pre,post,MLOC_avg,NBD_avg,PAR_avg,VG_avg,FOUT_avg
1,0,13,0,0,0,1,2,6,6,0,0,1,1,1,1,0,0,eclipse\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\DeclarationOfReferencedTypesPattern.java,0.0,0.0,6.0,0.0,1.0,1.0,0.0
1,0,19,0,0,0,3,2,14,8,1,1,4,4,5,3,1,1,eclipse\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\SimplePropertyDescriptor.java,0.0,0.0,4.666666666666667,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333
1,0,66,0,0,0,11,0,52,9,3,1,10,4,14,2,18,5,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\jdom\DOMPackage.java,0.0,0.0,4.7272727272727275,0.2727272727272727,0.9090909090909091,1.2727272727272727,1.6363636363636365
0,1,4,0,0,0,1,0,1,1,-1,-1,0,0,1,1,0,0,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\env\IGenericField.java,0.0,0.0,1.0,-1.0,0.0,1.0,0.0
0,1,7,0,0,0,4,0,4,1,-4,-1,3,1,4,1,0,0,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\IRegion.java,0.0,0.0,1.0,-1.0,0.75,1.0,0.0
0,1,5,0,0,0,2,0,2,1,-2,-1,0,0,2,1,0,0,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\util\ILocalVariableTypeTableAttribute.java,0.0,0.0,1.0,-1.0,0.0,1.0,0.0
1,0,25,0,0,0,11,0,22,2,0,0,27,4,11,1,0,0,eclipse\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\NodeEventHandler.java,0.0,0.0,2.0,0.0,2.4545454545454546,1.0,0.0
1,0,83,0,0,1,5,2,74,57,4,3,9,3,26,21,10,6,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\FloatLiteral.java,0.0,0.0,14.8,0.8,1.8,5.2,2.0
1,0,199,0,0,0,14,3,172,34,17,5,25,5,55,8,76,16,eclipse\org.eclipse.jdt.core\formatter\org\eclipse\jdt\internal\formatter\comment\JavaDocRegion.java,0.0,0.0,12.285714285714286,1.2142857142857142,1.7857142857142858,3.9285714285714284,5.428571428571429
1,0,11,0,0,0,1,1,6,6,0,0,4,4,1,1,0,0,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\JavadocImportReference.java,0.0,0.0,6.0,0.0,4.0,1.0,0.0
