fileName,numOfClass,numOfInterface,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
org.eclipse.jdt.core.dom.QualifiedName,1,0,124,0,1,3,15,5,104,21,6.93,11,3,0.73,13,3,0.87,28,5,1.87,38,8,2.53
org.eclipse.jdt.core.util.IConstantPoolEntry,0,1,23,0,0,0,20,0,20,1,1.0,-20,-1,-1.0,0,0,0.0,20,1,1.0,0,0,0.0
org.eclipse.jdt.core.search.ISearchPattern,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnPackageReference,1,0,16,0,0,0,2,0,11,8,5.5,1,1,0.5,5,3,2.5,4,3,2.0,4,4,2.0
org.eclipse.jdt.core.dom.InfixExpression,1,0,236,0,1,5,20,9,144,21,7.2,18,3,0.9,17,3,0.85,41,5,2.05,47,13,2.35
org.eclipse.jdt.internal.compiler.flow.SwitchFlowContext,1,0,30,0,0,0,5,2,23,8,4.6,1,1,0.2,4,3,0.8,7,3,1.4,7,4,1.4
org.eclipse.jdt.internal.core.SourceTypeElementInfo,1,0,205,0,0,5,22,10,185,20,8.41,20,3,0.91,5,2,0.23,61,6,2.77,29,3,1.32
org.eclipse.jdt.core.util.IAnnotationComponent,0,1,6,0,0,0,3,0,3,1,1.0,-3,-1,-1.0,0,0,0.0,3,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.util.HandleFactory,1,0,276,0,0,0,7,4,235,74,33.57,18,5,2.57,17,5,2.43,67,24,9.57,72,19,10.29
org.eclipse.jdt.internal.eval.EvaluationConstants,0,1,18,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.jdt.internal.eval.CodeSnippetEvaluator,1,0,138,0,0,1,7,3,99,36,14.14,8,4,1.14,10,6,1.43,21,6,3.0,26,12,3.71
org.eclipse.jdt.internal.codeassist.complete.CompletionOnJavadocAllocationExpression,1,0,70,0,0,0,9,2,64,34,7.11,2,2,0.22,8,3,0.89,19,11,2.11,7,7,0.78
org.eclipse.jdt.internal.compiler.ast.StringLiteralConcatenation,1,0,52,0,0,1,5,3,39,12,7.8,4,2,0.8,7,2,1.4,9,3,1.8,8,3,1.6
org.eclipse.jdt.core.dom.rewrite.ASTRewrite,1,0,271,0,1,0,27,4,243,38,9.0,20,3,0.74,37,6,1.37,70,11,2.59,83,12,3.07
org.eclipse.jdt.internal.core.CreateInitializerOperation,1,0,70,0,0,0,6,1,59,27,9.83,8,5,1.33,7,3,1.17,19,8,3.17,14,7,2.33
org.eclipse.jdt.internal.core.search.JavaWorkspaceScope,1,0,102,0,0,0,9,1,88,50,9.78,5,2,0.56,7,2,0.78,33,21,3.67,15,6,1.67
org.eclipse.jdt.internal.compiler.ast.QualifiedAllocationExpression,1,0,308,0,0,0,10,3,277,169,27.7,17,6,1.7,14,3,1.4,92,55,9.2,81,43,8.1
org.eclipse.jdt.internal.compiler.ast.ArrayReference,1,0,182,0,0,0,11,2,137,28,12.45,10,2,0.91,33,6,3.0,38,7,3.45,54,11,4.91
org.eclipse.jdt.core.dom.IAnnotationBinding,0,1,7,0,0,0,4,0,4,1,1.0,-4,-1,-1.0,0,0,0.0,4,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.dom.rewrite.LineCommentEndOffsets,1,0,59,0,0,0,5,2,51,26,10.2,7,4,1.4,5,2,1.0,16,7,3.2,12,4,2.4
org.eclipse.jdt.core.dom.NaiveASTFlattener,1,0,1176,0,0,0,89,2,1176,82,13.21,90,4,1.01,85,1,0.96,280,24,3.15,563,23,6.33
org.eclipse.jdt.internal.core.dom.rewrite.ImportRewriteAnalyzer,1,0,850,1,6,3,27,13,551,87,20.41,57,8,2.11,44,6,1.63,158,35,5.85,186,31,6.89
org.eclipse.jdt.internal.compiler.ast.ConditionalExpression,1,0,397,0,0,0,9,7,330,155,36.67,13,4,1.44,20,5,2.22,113,68,12.56,65,17,7.22
org.eclipse.jdt.internal.compiler.env.ISourceType,0,1,16,0,0,0,13,0,13,1,1.0,-13,-1,-1.0,0,0,0.0,13,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.ast.DoubleLiteral,1,0,81,0,0,0,5,1,74,57,14.8,4,3,0.8,9,3,1.8,26,21,5.2,10,6,2.0
org.eclipse.jdt.internal.core.search.indexing.IndexManager,1,0,592,1,0,5,37,11,548,46,14.81,54,6,1.46,56,4,1.51,172,15,4.65,211,16,5.7
org.eclipse.jdt.internal.compiler.codegen.Label,1,0,12,0,0,1,3,3,6,3,2.0,-1,0,-0.33,1,1,0.33,3,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.ast.ASTNode,1,0,486,0,7,105,20,107,342,79,17.1,20,5,1.0,37,8,1.85,190,38,9.5,97,23,4.85
org.eclipse.jdt.internal.core.search.matching.MatchingNodeSet,1,0,140,1,0,3,10,8,118,32,11.8,4,2,0.4,14,2,1.4,42,9,4.2,29,6,2.9
org.eclipse.jdt.internal.core.JarPackageFragment,1,0,98,0,0,0,13,0,86,25,6.62,7,3,0.54,14,4,1.08,23,6,1.77,24,8,1.85
org.eclipse.jdt.internal.core.SearchableEnvironmentRequestor,1,0,65,0,0,0,5,5,44,25,8.8,4,4,0.8,8,4,1.6,13,9,2.6,20,15,4.0
org.eclipse.jdt.internal.formatter.comment.IJavaDocTagConstants,0,1,15,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.jdt.internal.core.JavaModel,1,0,226,0,5,2,29,2,208,21,7.17,18,2,0.62,50,6,1.72,76,7,2.62,65,8,2.24
org.eclipse.jdt.internal.core.PackageDeclaration,1,0,36,0,0,0,7,1,30,8,4.29,1,1,0.14,8,4,1.14,11,3,1.57,7,3,1.0
org.eclipse.jdt.core.dom.DefaultCommentMapper,1,0,375,0,0,1,12,9,337,112,28.08,26,5,2.17,18,3,1.5,96,26,8.0,30,10,2.5
org.eclipse.jdt.internal.core.CreateTypeMemberOperation,1,0,150,0,0,0,10,3,118,42,11.8,4,3,0.4,13,3,1.3,29,7,2.9,60,25,6.0
org.eclipse.jdt.internal.compiler.impl.IntConstant,1,0,72,0,1,15,12,16,68,35,5.67,0,0,0.0,2,1,0.17,27,16,2.25,1,1,0.08
org.eclipse.jdt.internal.compiler.ast.ParameterizedQualifiedTypeReference,1,0,255,0,0,0,12,2,235,101,19.58,20,4,1.67,21,4,1.75,85,45,7.08,56,30,4.67
org.eclipse.platform.internal.EclipseRSSViewer,1,0,308,3,0,4,10,12,176,47,17.6,14,3,1.4,11,3,1.1,34,8,3.4,41,10,4.1
org.eclipse.jdt.core.ElementChangedEvent,1,0,19,0,0,4,3,5,10,4,3.33,0,0,0.0,2,2,0.67,3,1,1.0,0,0,0.0
org.eclipse.jdt.core.ITypeHierarchyChangedListener,0,1,4,0,0,0,1,0,1,1,1.0,-1,-1,-1.0,1,1,1.0,1,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.classfmt.ElementValuePairInfo,1,0,34,0,0,1,4,3,28,18,7.0,2,2,0.5,2,2,0.5,7,4,1.75,5,5,1.25
org.eclipse.jdt.internal.codeassist.ISearchRequestor,0,1,6,0,0,0,2,0,2,1,1.0,-2,-1,-1.0,6,5,3.0,2,1,1.0,0,0,0.0
org.eclipse.jdt.core.dom.MethodInvocation,1,0,162,0,1,6,18,10,124,21,6.89,13,3,0.72,13,3,0.72,37,5,2.06,44,13,2.44
org.eclipse.jdt.internal.core.MoveResourceElementsOperation,1,0,14,0,0,0,3,0,9,3,3.0,0,0,0.0,3,3,1.0,3,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.BasicCompilationUnit,1,0,92,0,0,0,9,5,73,27,8.11,6,3,0.67,12,4,1.33,23,8,2.56,12,5,1.33
org.eclipse.jdt.internal.compiler.lookup.TypeVariableBinding,1,0,357,1,0,0,22,6,334,88,15.18,29,6,1.32,14,4,0.64,122,41,5.55,52,13,2.36
org.eclipse.jdt.core.dom.ASTRecoveryPropagator,1,0,321,0,0,1,11,13,244,49,22.18,29,5,2.64,12,2,1.09,108,36,9.82,54,12,4.91
org.eclipse.jdt.internal.compiler.ast.UnaryExpression,1,0,257,0,0,0,8,2,207,93,25.88,7,2,0.88,18,5,2.25,61,26,7.63,52,26,6.5
org.eclipse.jdt.internal.core.TypeVector,1,0,93,0,0,2,13,5,77,9,5.92,4,1,0.31,8,1,0.62,25,3,1.92,10,3,0.77
org.eclipse.jdt.core.search.IJavaSearchResultCollector,0,1,19,0,0,0,4,2,4,1,1.0,-4,-1,-1.0,5,5,1.25,4,1,1.0,0,0,0.0
org.eclipse.jdt.core.dom.ForStatement,1,0,141,0,1,5,17,9,107,21,6.29,8,3,0.47,13,3,0.76,29,5,1.71,41,13,2.41
org.eclipse.jdt.internal.core.search.matching.OrPattern,1,0,69,0,0,0,7,2,53,18,7.57,4,1,0.57,7,5,1.0,20,8,2.86,12,3,1.71
org.eclipse.jdt.internal.compiler.ICompilerRequestor,0,1,4,0,0,0,1,0,1,1,1.0,-1,-1,-1.0,1,1,1.0,1,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.util.HashtableOfObject,1,0,126,0,0,0,11,4,105,19,9.55,9,2,0.82,6,2,0.55,34,6,3.09,14,3,1.27
org.eclipse.jdt.core.IBufferFactory,0,1,4,0,0,0,1,0,1,1,1.0,-1,-1,-1.0,1,1,1.0,1,1,1.0,0,0,0.0
org.eclipse.jdt.internal.formatter.Scribe,1,0,1423,0,0,2,63,30,1431,124,22.71,97,7,1.54,90,7,1.43,379,32,6.02,187,14,2.97
org.eclipse.jdt.core.dom.Initializer,1,0,150,0,1,6,17,7,119,21,7.0,13,3,0.76,15,3,0.88,35,5,2.06,43,14,2.53
org.eclipse.jdt.core.util.ILocalVariableTableEntry,0,1,10,0,0,0,7,0,7,1,1.0,-7,-1,-1.0,0,0,0.0,7,1,1.0,0,0,0.0
org.eclipse.jdt.core.IJavaElement,0,1,41,0,0,0,18,15,18,1,1.0,-18,-1,-1.0,2,1,0.11,18,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.util.ObjectVector,1,0,86,0,0,1,15,4,69,8,4.6,3,1,0.2,12,2,0.8,29,3,1.93,10,2,0.67
